exporter,product,periodX,periodY,intercept,intercept_p_value,beta,beta_p_value,gamma,r_squared
EE,3,201408,201409,-0.018576821,0.061636248,1.430218101,2.07816E-09,0.430218101,0.899875594
EE,3,201409,201410,-0.010757659,0.036397061,1.147566284,2.18957E-14,0.147566284,0.97599388
EE,3,201410,201411,0.000216306,0.931109579,0.960169211,3.23155E-20,-0.039830789,0.989374134
EE,3,201411,201412,-0.002031984,0.549491555,1.050731112,3.1118E-17,0.050731112,0.986121296
EE,3,201412,201501,0.005183466,0.656289834,0.890378869,7.2157E-08,-0.109621131,0.826164552
EE,3,201501,201502,0.001917199,0.863009303,0.939094977,1.79128E-08,-0.060905023,0.818588184
EE,3,201502,201503,0.003742593,0.09820939,0.928075895,2.64718E-21,-0.071924105,0.99183354
EE,3,201503,201504,0.006496045,0.161182016,0.859236562,7.61193E-15,-0.140763438,0.946649136
EE,3,201504,201505,-0.004998631,0.42984522,1.083676596,8.64819E-13,0.083676596,0.935869896
EE,3,201505,201506,0.006160666,0.6143743,0.862815364,4.70455E-07,-0.137184636,0.74521597
EE,3,201506,201507,-0.001778914,0.763672912,1.026331969,1.56726E-13,0.026331969,0.946394484
EE,3,201507,201508,0.001802663,0.609749583,0.967833999,4.36422E-17,-0.032166001,0.981672076
EE,3,201508,201509,0.008575336,0.180490431,0.818600844,1.51497E-11,-0.181399156,0.913412451
EE,3,201509,201510,-0.001120174,0.907070443,1.008376248,5.67554E-09,0.008376248,0.854888899
EE,3,201510,201511,-0.008755748,0.164646856,1.154301506,6.64387E-14,0.154301506,0.951013538
EE,3,201511,201512,0.010678779,0.015494911,0.806357066,4.34726E-15,-0.193642934,0.96945949
EE,3,201512,201601,-0.007932291,0.389615038,1.127891286,6.37666E-10,0.127891286,0.926809182
EE,3,201601,201602,0.007208179,0.485074721,0.824648979,3.44863E-08,-0.175351021,0.85812551
EE,3,201602,201603,0.019112022,0.151213933,0.649551049,3.9028E-05,-0.350448951,0.663040435
EE,3,201603,201604,0.003306231,0.690265465,0.927099089,8.28881E-09,-0.072900911,0.84870611
EE,3,201604,201605,-0.009592287,0.395054728,1.156165731,2.8458E-08,0.156165731,0.84401584
EE,3,201605,201606,0.008299273,0.266208819,0.845880533,4.56736E-10,-0.154119467,0.903727824
EE,3,201606,201607,0.002754825,0.728302387,0.944426833,1.4385E-09,-0.055573167,0.90434948
EE,3,201607,201608,0.00353133,0.239395723,0.962658754,9.90896E-16,-0.037341246,0.987651951
EE,3,201608,201609,-0.009103052,0.190503734,1.145153792,6.35043E-12,0.145153792,0.941658286
EE,3,201609,201610,0.013225619,0.145591527,0.742541354,3.85983E-08,-0.257458646,0.820800015
EE,3,201610,201611,7.22376E-05,0.991916619,0.999717589,1.33825E-10,-0.000282411,0.904044309
EE,3,201611,201612,-0.003437604,0.642683983,1.049007028,8.39503E-11,0.049007028,0.92104408
EE,3,201612,201701,0.00635986,0.433671013,0.87724393,1.85346E-09,-0.12275607,0.886594352
EE,3,201701,201702,0.001895554,0.810588976,0.957981375,8.18026E-10,-0.042018625,0.896936056
EE,3,201702,201703,0.005031654,0.289396439,0.903940362,4.19986E-13,-0.096059638,0.957578325
EE,3,201703,201704,0.002525558,0.744316609,1.083084321,8.36509E-10,0.083084321,0.924124772
EE,3,201704,201705,0.001313597,0.839719901,0.971316436,3.4071E-11,-0.028683564,0.939962672
EE,3,201705,201706,-0.001963704,0.86876881,1.014252289,1.10058E-07,0.014252289,0.836210043
EE,3,201706,201707,0.014870947,0.152995348,0.727931892,3.59684E-07,-0.272068108,0.810402309
EE,3,201707,201708,0.000946401,0.768900993,0.983937792,6.12381E-16,-0.016062208,0.980300723
EE,3,201708,201709,0.009018796,0.373953029,0.831836671,4.78086E-07,-0.168163329,0.803626518
EE,3,201709,201710,-0.004636119,0.375644663,1.077368404,4.51897E-13,0.077368404,0.948890238
EE,3,201710,201711,-0.005284715,0.20404235,1.100588621,6.17891E-16,0.100588621,0.970033148
EE,3,201711,201712,0.003483818,0.595233889,0.925249824,1.57217E-11,-0.074750176,0.91307553
EE,3,201712,201801,-0.000208777,0.980999441,0.949360097,2.2432E-09,-0.050639903,0.853934462
EE,3,201801,201802,-0.00088276,0.833566911,1.016146514,5.4364E-16,0.016146514,0.964663612
